日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-04-14,0.978,0.974,0.983,0.961,409987,39780091.0,2.22,-1.62,-0.016,40.64
2023-04-17,0.976,0.971,0.976,0.968,216304,21004126.0,0.82,-0.31,-0.003,21.44
2023-04-18,0.976,0.97,0.976,0.967,134031,12993514.0,0.93,-0.1,-0.001,13.28
2023-04-19,0.975,0.972,0.976,0.969,173720,16889765.0,0.72,0.21,0.002,17.22
2023-04-20,0.971,0.97,0.971,0.968,114006,11053637.0,0.31,-0.21,-0.002,11.3
2023-04-21,0.97,0.972,0.972,0.969,135425,13134588.0,0.31,0.21,0.002,13.42
2023-04-24,0.967,0.958,0.967,0.953,132501,12739814.0,1.44,-1.44,-0.014,13.13
2023-04-25,0.957,0.955,0.961,0.949,116049,11087303.0,1.25,-0.31,-0.003,11.5
2023-04-26,0.939,0.939,0.944,0.936,102696,9644449.0,0.84,-1.68,-0.016,10.18
2023-04-27,0.938,0.933,0.938,0.93,55511,5178569.0,0.85,-0.64,-0.006,5.5
2023-04-28,0.932,0.932,0.936,0.927,67552,6286505.0,0.96,-0.11,-0.001,6.7
2023-05-04,0.932,0.924,0.932,0.922,29504,2730771.0,1.07,-0.86,-0.008,2.92
2023-05-05,0.924,0.914,0.924,0.912,43140,3944974.0,1.3,-1.08,-0.01,4.28
2023-05-08,0.921,0.928,0.93,0.921,33084,3062945.0,0.98,1.53,0.014,3.28
2023-05-09,0.93,0.93,0.934,0.928,47879,4456716.0,0.65,0.22,0.002,4.75
2023-05-10,0.925,0.926,0.934,0.925,19248,1785039.0,0.97,-0.43,-0.004,1.91
2023-05-11,0.933,0.924,0.933,0.923,28528,2643848.0,1.08,-0.22,-0.002,2.83
2023-05-12,0.923,0.92,0.928,0.918,50858,4691493.0,1.08,-0.43,-0.004,5.04
2023-05-15,0.918,0.923,0.926,0.918,37442,3445429.0,0.87,0.33,0.003,3.71
2023-05-16,0.932,0.939,0.939,0.932,60399,5653443.0,0.76,1.73,0.016,5.99
2023-05-17,0.938,0.943,0.945,0.938,50349,4745148.0,0.75,0.43,0.004,4.99
2023-05-18,0.96,0.965,0.97,0.96,117702,11342602.0,1.06,2.33,0.022,11.67
2023-05-19,0.985,0.992,1.0,0.985,117201,11604560.0,1.55,2.8,0.027,11.62
2023-05-22,0.99,0.987,0.992,0.971,121773,11959693.0,2.12,-0.5,-0.005,12.07
2023-05-23,0.987,0.989,0.994,0.985,57853,5735735.0,0.91,0.2,0.002,5.73
2023-05-24,0.987,0.983,0.987,0.969,66507,6522731.0,1.82,-0.61,-0.006,6.59
2023-05-25,0.999,1.002,1.003,0.986,232950,23245553.0,1.73,1.93,0.019,23.09
2023-05-26,1.016,1.014,1.02,1.01,268193,27198164.0,1.0,1.2,0.012,26.58
2023-05-29,1.054,1.062,1.063,1.051,429614,45380727.0,1.18,4.73,0.048,42.58
2023-05-30,1.06,1.062,1.063,1.055,166073,17598548.0,0.75,0.0,0.0,16.46
2023-05-31,1.058,1.064,1.065,1.058,190409,20235661.0,0.66,0.19,0.002,18.87
2023-06-01,1.052,1.049,1.055,1.041,115670,12111836.0,1.32,-1.41,-0.015,11.46
2023-06-02,1.063,1.067,1.067,1.06,98737,10504323.0,0.67,1.72,0.018,9.79
2023-06-05,1.064,1.065,1.068,1.06,96084,10222428.0,0.75,-0.19,-0.002,9.52
2023-06-06,1.059,1.048,1.059,1.043,98224,10304843.0,1.5,-1.6,-0.017,9.74
2023-06-07,1.057,1.064,1.064,1.057,48861,5185818.0,0.67,1.53,0.016,4.84
2023-06-08,1.054,1.053,1.059,1.052,44280,4664148.0,0.66,-1.03,-0.011,4.39
2023-06-09,1.063,1.074,1.074,1.063,95130,10167589.0,1.04,1.99,0.021,9.43
2023-06-12,1.068,1.075,1.076,1.068,41493,4455647.0,0.74,0.09,0.001,4.11
2023-06-13,1.099,1.113,1.116,1.098,111534,12346785.0,1.67,3.53,0.038,11.06
2023-06-14,1.112,1.112,1.123,1.108,91863,10218983.0,1.35,-0.09,-0.001,9.11
2023-06-15,1.122,1.131,1.134,1.12,125838,14152186.0,1.26,1.71,0.019,12.47
2023-06-16,1.126,1.129,1.138,1.114,149463,16755317.0,2.12,-0.18,-0.002,14.81
2023-06-19,1.118,1.111,1.118,1.107,54098,6013129.0,0.97,-1.59,-0.018,5.36
2023-06-20,1.111,1.122,1.126,1.102,63290,7073702.0,2.16,0.99,0.011,6.27
2023-06-21,1.117,1.112,1.12,1.111,54275,6053753.0,0.8,-0.89,-0.01,5.38
2023-06-26,1.07,1.115,1.13,1.07,166386,18303805.0,5.4,0.27,0.003,16.49
2023-06-27,1.103,1.135,1.14,1.091,111426,12518931.0,4.39,1.79,0.02,11.04
2023-06-28,1.145,1.135,1.169,1.121,132941,15203250.0,4.23,0.0,0.0,13.18
2023-06-29,1.124,1.152,1.16,1.118,128246,14495719.0,3.7,1.5,0.017,12.71
2023-06-30,1.129,1.133,1.15,1.125,39983,4550908.0,2.17,-1.65,-0.019,3.96
2023-07-03,1.136,1.131,1.144,1.125,66406,7529987.0,1.68,-0.18,-0.002,6.58
2023-07-04,1.131,1.125,1.132,1.123,43579,4904708.0,0.8,-0.53,-0.006,4.32
2023-07-05,1.125,1.115,1.128,1.114,109020,12190047.0,1.24,-0.89,-0.01,10.81
