日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-16,0.997,0.961,0.997,0.951,1367974,131446341.086,4.63,-3.22,-0.032,108.22
2025-04-17,0.951,0.975,0.98,0.951,804222,78313349.147,3.02,1.46,0.014,63.62
2025-04-18,0.975,0.968,0.975,0.967,66832,6480110.405,0.82,-0.72,-0.007,5.29
2025-04-21,0.968,0.977,0.977,0.968,84382,8208916.653,0.93,0.93,0.009,6.68
2025-04-22,0.976,0.964,0.976,0.957,336813,32513153.416,1.94,-1.33,-0.013,26.65
2025-04-23,0.99,0.998,1.002,0.984,676251,67235510.909,1.87,3.53,0.034,53.5
2025-04-24,0.997,0.974,1.001,0.973,219641,21719874.304,2.81,-2.4,-0.024,17.38
2025-04-25,0.985,0.99,1.005,0.985,548636,54726495.162,2.05,1.64,0.016,43.4
2025-04-28,0.994,0.995,0.996,0.98,170178,16817205.61,1.62,0.51,0.005,13.46
2025-04-29,0.995,0.992,1.005,0.991,297378,29661598.141,1.41,-0.3,-0.003,23.53
2025-04-30,1.002,1.007,1.007,0.99,529995,53042727.635,1.71,1.51,0.015,41.93
2025-05-06,1.028,1.042,1.044,1.022,491397,50781764.908,2.18,3.48,0.035,38.88
2025-05-07,1.067,1.038,1.073,1.033,380827,40116985.471,3.84,-0.38,-0.004,30.13
2025-05-08,1.027,1.033,1.047,1.026,218051,22634042.028,2.02,-0.48,-0.005,17.25
2025-05-09,1.033,1.024,1.039,1.019,216128,22203942.554,1.94,-0.87,-0.009,17.1
2025-05-12,1.039,1.043,1.056,1.039,278272,29118475.852,1.66,1.86,0.019,22.01
2025-05-13,1.062,1.039,1.064,1.038,152762,16047619.103,2.49,-0.38,-0.004,12.09
2025-05-14,1.045,1.056,1.057,1.045,149364,15697705.46,1.15,1.64,0.017,11.82
2025-05-15,1.053,1.04,1.058,1.038,126564,13243791.652,1.89,-1.52,-0.016,10.01
2025-05-16,1.035,1.037,1.042,1.032,67364,6982668.185,0.96,-0.29,-0.003,5.33
2025-05-19,1.034,1.03,1.039,1.016,105563,10785008.403,2.22,-0.68,-0.007,8.35
2025-05-20,1.032,1.035,1.04,1.025,240096,24851359.724,1.46,0.49,0.005,18.99
2025-05-21,1.036,1.04,1.048,1.034,62551,6523145.2,1.35,0.48,0.005,4.95
2025-05-22,1.041,1.019,1.041,1.019,107205,11021293.912,2.12,-2.02,-0.021,8.48
2025-05-23,1.009,1.022,1.035,1.009,133408,13731095.5,2.55,0.29,0.003,10.55
