日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-07,0.998,1.003,1.006,0.995,995563,99832424.0,1.1,0.5,0.005,38.25
2025-03-10,1.003,1.005,1.007,0.998,236867,23772465.0,0.9,0.2,0.002,9.1
2025-03-11,1.0,1.007,1.008,0.998,283142,28442412.0,1.0,0.2,0.002,10.88
2025-03-12,1.005,1.004,1.009,1.003,456651,45938472.0,0.6,-0.3,-0.003,17.54
2025-03-13,1.009,1.006,1.009,1.0,346378,34854563.0,0.9,0.2,0.002,13.31
2025-03-14,1.006,1.014,1.016,1.006,1477310,149594188.0,0.99,0.8,0.008,56.75
2025-03-17,1.014,1.021,1.022,1.012,1245019,126823562.0,0.99,0.69,0.007,47.83
2025-03-18,1.023,1.025,1.028,1.02,725680,74367694.0,0.78,0.39,0.004,27.88
2025-03-19,1.025,1.028,1.03,1.024,544850,55984399.0,0.59,0.29,0.003,20.93
2025-03-20,1.028,1.029,1.033,1.026,759106,78231294.0,0.68,0.1,0.001,29.16
2025-03-21,1.029,1.016,1.032,1.011,348433,35580362.0,2.04,-1.26,-0.013,13.39
2025-03-24,1.016,1.017,1.022,1.01,297797,30272493.0,1.18,0.1,0.001,11.44
2025-03-25,1.017,1.013,1.021,1.01,177350,18009639.0,1.08,-0.39,-0.004,6.81
2025-03-26,1.013,1.008,1.016,1.008,85271,8626108.0,0.79,-0.49,-0.005,3.28
2025-03-27,1.008,1.014,1.016,1.005,201386,20411865.0,1.09,0.6,0.006,7.74
2025-03-28,1.014,1.01,1.015,1.007,63870,6451500.0,0.79,-0.39,-0.004,2.45
2025-03-31,1.013,1.006,1.013,1.003,146840,14799047.0,0.99,-0.4,-0.004,5.64
2025-04-01,1.006,1.016,1.017,1.006,210124,21284682.0,1.09,0.99,0.01,8.07
2025-04-02,1.016,1.022,1.023,1.014,138157,14097452.0,0.89,0.59,0.006,5.31
2025-04-03,1.021,1.014,1.021,1.002,96832,9812238.0,1.86,-0.78,-0.008,3.72
2025-04-07,0.997,0.913,0.997,0.913,242498,22551389.0,8.28,-9.96,-0.101,9.32
2025-04-08,0.913,0.923,0.934,0.913,141019,13017776.0,2.3,1.1,0.01,5.42
2025-04-09,0.92,0.926,0.929,0.901,143205,13126285.0,3.03,0.33,0.003,5.5
2025-04-10,0.945,0.953,0.967,0.945,222872,21317096.0,2.38,2.92,0.027,8.56
2025-04-11,0.95,0.961,0.966,0.945,99218,9499588.0,2.2,0.84,0.008,3.81
2025-04-14,0.967,0.981,0.989,0.967,34843,3406963.0,2.29,2.08,0.02,1.34
2025-04-15,1.01,0.983,1.01,0.979,128750,12693081.0,3.16,0.2,0.002,4.95
2025-04-16,0.983,0.977,0.986,0.971,46727,4565389.0,1.53,-0.61,-0.006,1.8
2025-04-17,0.978,0.982,0.985,0.978,45054,4421109.0,0.72,0.51,0.005,1.73
2025-04-18,0.983,0.979,0.983,0.977,17447,1708559.0,0.61,-0.31,-0.003,0.67
2025-04-21,0.979,0.981,0.982,0.977,33663,3298445.0,0.51,0.2,0.002,1.29
2025-04-22,0.981,0.983,0.986,0.978,75674,7433044.0,0.82,0.2,0.002,2.91
2025-04-23,0.986,0.99,0.995,0.986,48064,4759209.0,0.92,0.71,0.007,1.85
2025-04-24,0.991,0.988,0.993,0.985,25489,2521253.0,0.81,-0.2,-0.002,0.98
2025-04-25,0.988,0.994,0.996,0.988,56898,5653010.0,0.81,0.61,0.006,2.19
2025-04-28,0.994,0.998,0.999,0.988,89584,8919329.0,1.11,0.4,0.004,3.44
2025-04-29,1.003,0.996,1.006,0.994,30538,3044869.0,1.2,-0.2,-0.002,1.17
2025-04-30,0.997,0.989,0.997,0.986,110550,10939739.0,1.1,-0.7,-0.007,4.25
2025-05-06,0.992,0.996,0.996,0.988,83505,8283761.0,0.81,0.71,0.007,3.21
2025-05-07,1.002,1.006,1.009,1.0,127401,12799836.0,0.9,1.0,0.01,4.89
2025-05-08,1.005,1.002,1.006,1.002,56980,5719525.0,0.4,-0.4,-0.004,2.19
2025-05-09,1.001,1.009,1.01,1.001,110937,11176899.0,0.9,0.7,0.007,4.26
2025-05-12,1.013,1.012,1.019,1.01,447435,45360828.0,0.89,0.3,0.003,17.19
2025-05-13,1.017,1.026,1.027,1.017,750649,76718256.0,0.99,1.38,0.014,28.84
2025-05-14,1.029,1.043,1.046,1.029,839756,87260361.0,1.66,1.66,0.017,32.26
2025-05-15,1.043,1.044,1.051,1.042,634673,66287763.0,0.86,0.1,0.001,24.38
2025-05-16,1.041,1.043,1.045,1.035,207566,21601327.0,0.96,-0.1,-0.001,7.97
2025-05-19,1.043,1.048,1.051,1.043,245978,25773934.0,0.77,0.48,0.005,9.45
2025-05-20,1.047,1.063,1.064,1.047,223175,23620910.0,1.62,1.43,0.015,8.57
2025-05-21,1.063,1.069,1.076,1.061,130095,13901372.0,1.41,0.56,0.006,5.0
2025-05-22,1.069,1.07,1.078,1.069,109017,11695502.0,0.84,0.09,0.001,4.19
2025-05-23,1.067,1.067,1.076,1.064,107807,11535595.0,1.12,-0.28,-0.003,4.14
